stations_id;,altitude;,longitude;,latitude;,4_months_precp
216,298,7.8807,51.1143,273.7
389,436,8.4318,51.0148,175.6
390,610,8.3683,50.9837,179.2
613,206,9.2324,51.5677,130.1
644,150,9.1738,51.7049,115
796,412,8.1257,50.7556,168
934,88,8.5658,51.7835,116.8
1300,351,8.1565,51.254,201.8
2483,839,8.4891,51.1803,222.2
2947,286,8.0348,51.1333,291.1
3028,157,8.8388,51.7854,179.3
3031,92,8.3945,51.6336,157.1
3098,387,7.6425,51.2452,169.1
3215,375,8.7125,51.1683,189.3
3499,292,7.853,51.2915,191.6
4127,347,7.6958,50.9906,137.8
4313,370,8.4342,51.4966,234.2
4368,93,8.5796,51.7098,140.8
4400,171,8.1808,51.5439,131.7
4488,443,8.2672,51.2127,261.8
4692,229,7.9966,50.8534,144.9
5347,236,9.1118,51.5039,119.6
5360,331,8.2665,51.4319,252.8
5468,418,7.8475,50.9377,152.1
5480,85,7.8879,51.5763,169.3
5619,360,7.4234,51.1637,207.3
5699,312,8.7784,51.5427,179.7
6264,457,8.65,51.414,132.9
6276,235,7.7813,51.4895,172.8
6313,440,7.4672,51.2488,216.8
7330,159,7.978,51.4633,214.2
13700,203,7.3412,51.3329,180.8
13713,386,7.6289,51.0899,182.9
